batch,time,malathion
B1-Ctrl,0,0
B1-Ctrl,10,0
B1-Ctrl,20,0
B1-Ctrl,30,0
B1-Ctrl,40,0
B1-Ctrl,50,0
B1-Ctrl,60,0
B1-Ctrl,70,0
B1-Ctrl,80,0
B1-Ctrl,90,0
B2-Ctrl,0,0
B2-Ctrl,10,0
B2-Ctrl,20,0
B2-Ctrl,30,0
B2-Ctrl,40,0
B2-Ctrl,50,0
B2-Ctrl,60,0
B2-Ctrl,70,0
B2-Ctrl,80,0
B2-Ctrl,90,0
B3-Ctrl,0,0
B3-Ctrl,10,0
B3-Ctrl,20,0
B3-Ctrl,30,0
B3-Ctrl,40,0
B3-Ctrl,50,0
B3-Ctrl,60,0
B3-Ctrl,70,0
B3-Ctrl,80,0
B3-Ctrl,90,0
B1-Trt,0,1.29
B1-Trt,10,1.29
B1-Trt,20,1.29
B1-Trt,30,1.29
B1-Trt,40,1.29
B1-Trt,50,1.29
B1-Trt,60,1.29
B1-Trt,70,1.29
B1-Trt,80,1.29
B1-Trt,90,1.29
B2-Trt,0,1.29
B2-Trt,10,1.29
B2-Trt,20,1.29
B2-Trt,30,1.29
B2-Trt,40,1.29
B2-Trt,50,1.29
B2-Trt,60,1.29
B2-Trt,70,1.29
B2-Trt,80,1.29
B2-Trt,90,1.29
B3-Trt,0,1.29
B3-Trt,10,1.29
B3-Trt,20,1.29
B3-Trt,30,1.29
B3-Trt,40,1.29
B3-Trt,50,1.29
B3-Trt,60,1.29
B3-Trt,70,1.29
B3-Trt,80,1.29
B3-Trt,90,1.29
