batch,time,v1,v2,v3,v4,v9,v10,v11,v12,v13,v15,v16,v17,v18,v19,v20,v21,v22,v24,v25,natamycin
B01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B01,8,,,,2757,2679,,3723,,4202,4550,,5371,4669,4982,5430,5191,4839,4104,11130,
B01,16,,,,2350,14040,2722,18270,2610,4747,5257,840.6,4697,5408,5247,5271,4942,4422,3543,10210,
B01,24,,,1374,2392,15140,5870,19620,4928,4163,4421,1591,4190,4556,4654,4291,4399,3827,3079,9344,0.27
B01,32,,,1982,2804,14460,7922,19120,6700,4026,4372,2203,3817,4563,4534,4516,4190,3658,2932,9283,
B01,40,,,2276,3003,15790,8902,20570,7586,4474,4941,2830,3780,4910,4782,4659,4302,3734,3009,8488,
B01,48,,,2632,3582,18910,10360,24810,8469,4775,5168,3796,3948,5260,5064,4989,4498,3898,3152,9512,0.36
B01,56,,,3343,3347,46990,8314,55600,6317,4031,4322,12960,3646,4431,4331,4405,4081,3554,2834,7082,
B01,64,2007,2436,6156,2705,76800,8590,,7756,4395,4746,21730,3417,4753,4567,4394,3997,3410,2689,7558,
B01,72,3231,3868,8417,3002,88470,9099,,8357,4398,4596,28610,3151,4481,4355,4129,3689,3149,2497,6946,6.28
B01,80,3449,4116,8433,3424,66780,5818,70830,4914,4497,4893,24860,2797,4851,4584,4249,3781,3118,2346,6799,
B01,88,4582,5491,10910,5159,72530,6736,76440,6014,4515,4969,33670,3027,5009,4795,4497,4033,3358,2680,8841,
B01,96,4681,5620,10890,5509,62960,5680,65060,5178,3839,4534,32430,2625,4654,4524,4237,3633,3046,2396,8011,5.21
B01,104,4743,5699,10950,5957,61090,5174,63380,4621,3353,4145,,2365,4424,4404,4111,3668,3042,2323,7729,
B01,112,4627,5568,10670,6115,62930,4940,64790,4859,2921,3838,34320,2079,4208,4162,3942,3490,2857,2203,7457,
B01,120,4407,5340,10140,5790,61710,4463,62380,4362,2624,3459,33330,1994,3920,3968,3655,3259,2662,2062,7922,16.83
B01,128,4188,5130,9851,6377,64180,4372,65010,4301,2495,3209,,1925,3627,3743,3559,3047,2523,1968,8049,
B01,136,3947,4859,9410,5773,57640,3909,59330,4035,2416,3123,34380,1808,3496,3589,3373,2994,2478,1920,7549,
B01,144,3735,4588,8965,5827,59260,3799,60770,3574,2052,2663,34460,1583,3018,3197,3083,2733,2228,1749,7475,20.54
B01,152,3469,4293,8570,5017,60660,4143,62120,4343,1721,2333,34200,1373,2769,2946,2829,2447,1984,1517,6714,
B01,160,3208,3989,8113,4148,62170,4593,64940,4440,1479,1984,32600,1301,2382,2555,2440,2113,1731,1303,7083,
B01,168,2978,3747,7718,3876,62290,4596,64660,4729,1415,1881,33300,1382,2245,2435,2238,1996,1572,1157,7055,12.94
B02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B02,8,,,,2160,3533,,3628,,1840,2084,,2895,2361,2506,2502,2561,2998,2538,7043,
B02,16,,,,1383,21240,,20560,,1735,1946,2729,2505,2100,2270,2456,2474,2358,2101,6386,
B02,24,,,2185,1349,53810,2843,50540,1838,1886,2038,12920,2338,2255,2285,2510,2496,2393,2031,5778,0.5
B02,32,1343,1545,4998,1693,81630,4879,,3193,2168,2343,32070,2328,2554,2528,2572,2528,2352,2004,5243,
B02,40,3014,3292,7780,2949,89940,4325,,2971,2452,2556,38630,2235,2584,2510,2601,2521,2311,1930,5248,
B02,48,3574,3913,8841,4204,84050,3714,71330,2862,2513,2693,53620,2021,2688,2624,2607,2499,2228,1863,4781,3.7
B02,56,3589,4020,8715,4302,82140,3484,67260,2457,2145,2454,41770,1647,2501,2492,2472,2304,2018,1623,4578,
B02,64,3482,3921,8359,5469,79450,3230,64550,2368,1890,2380,41220,1591,2520,2557,2410,2220,1897,1560,4991,
B02,72,3326,3783,7943,6636,79650,3033,64050,2381,1786,2261,,1536,2474,2505,2426,2266,1949,1549,4336,6.5
B02,80,3036,3579,7256,7413,81210,2913,66020,2252,1678,2157,40410,1320,2339,2369,2333,2155,1897,1489,4361,
B02,88,2798,3328,6651,7689,81010,2749,64910,2113,1397,1959,50490,1305,2211,2257,2148,1993,1724,1403,4035,
B02,96,2574,3089,6126,8076,85940,2884,68700,2271,1388,1955,44440,1274,2216,2191,2164,1956,1736,1391,4035,8.4
B02,104,2446,2982,5837,8091,79650,,64860,1868,1337,1821,,1295,2069,2068,2038,1925,1684,1364,4067,
B02,112,2270,2839,5483,7187,78690,2183,62170,1895,1319,1730,54320,1167,1872,1966,2002,1837,1618,1321,3737,
B02,120,2152,2762,5240,6756,79390,,61970,1727,1338,1760,51640,1176,1939,2003,1969,1850,1650,1359,4399,20.5
B02,128,2046,2666,5045,6291,75560,,61300,1485,1321,1735,,1189,1897,1924,1852,1755,1526,1238,3988,
B02,136,1905,2536,4757,6463,78330,2295,63530,1775,1136,1523,54250,1102,1704,1712,1690,1588,1393,1104,4037,
B02,144,1798,2451,4483,6201,76270,2142,60690,1703,,1557,55530,1064,1713,1739,1630,1513,1318,1057,3640,21.4
B02,152,1700,2418,4407,6493,78180,2169,61530,1692,1032,1390,55320,1032,1608,1661,1576,1440,1257,991.2,3878,
B02,160,1683,2364,4274,6946,77750,2052,60770,1649,,1368,55020,986.7,1569,1618,1538,1414,1227,970.9,3833,
B02,168,1588,2236,4114,6786,75360,2023,58660,1636,,1376,55350,984,1516,1514,1474,1347,1157,951.4,3797,27.2
B03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B03,8,,,,1126,2590,,3201,,3973,4288,,3988,4329,4705,5032,4970,4439,3910,9982,
B03,16,,,,,20700,1233,24210,1351,2929,3315,1791,3287,3574,3475,3804,3795,3624,3064,8807,
B03,24,,,2408,842.4,48440,3680,56680,3507,3260,3656,10340,3211,3621,3754,3881,3697,3501,2972,9475,0.27
B03,32,2004,2380,5654,1273,48070,2913,53340,2760,3994,4277,18090,3154,4372,4387,4322,4060,3693,2975,7428,
B03,40,3784,4357,9023,2123,51300,3533,55790,3846,4260,4584,26660,3092,4599,4612,4524,4234,3817,3145,7255,
B03,48,4561,5220,10210,2712,52990,3715,56170,4024,3523,4354,32030,2758,4596,4635,4536,4251,3803,3122,7052,2.3
B03,56,4648,5330,10240,5443,56090,3118,58990,3476,2581,3373,35090,2210,3906,4265,4267,4058,3611,3033,7765,
B03,64,4212,4829,9077,6893,56450,2909,58870,3266,2257,2806,35740,1675,3273,3737,3961,3840,3486,2924,6953,
B03,72,3919,4501,8314,7493,56480,2696,57910,3234,2043,2473,38530,1496,2891,3353,3548,3567,3276,2796,7314,2.89
B03,80,3480,4096,7326,8028,55940,2498,56790,2913,2060,2402,37440,1355,2644,3014,3323,3443,3192,2743,7228,
B03,88,3046,3618,6537,8098,54260,2334,56740,2758,1896,2202,37670,1110,2388,2723,3040,3169,3040,2582,6461,
B03,96,2828,3373,5957,8599,61590,2507,63000,3108,2267,2704,40640,1444,2891,3091,3338,3416,3171,2751,7808,7.35
B03,104,2460,2949,5415,7695,62630,2542,63270,2996,1883,2271,40170,1287,2467,2590,2838,2916,2802,2416,6553,
