batch,time,Rc,C,I,mI,m1,P1
batch 1,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 1,5.0,19.327541,112.316496,159.453276,8.810191,0.613018,1.54848
batch 1,10.0,3.957451,184.231695,812.29575,10.430419,0.828227,6.0897
batch 1,15.0,2.247632,227.045831,1448.813035,9.53606,0.690004,10.449643
batch 1,20.0,2.038844,252.998186,1602.914664,7.414286,0.524085,13.71508
batch 1,25.0,3.088059,266.889229,1055.626677,4.994531,0.390569,15.993511
batch 1,30.0,54.473763,210.778202,35.979618,3.594768,0.290125,17.516314
batch 1,35.0,24.728668,150.074178,129.266404,8.508887,0.363667,18.7464
batch 1,40.0,5.07194,205.999298,637.402194,9.757402,0.418955,20.623335
batch 1,45.0,3.142345,238.589707,1036.472151,8.57812,0.343724,22.286651
batch 1,50.0,3.600576,257.286635,904.249,6.437461,0.261136,23.408067
batch 1,55.0,15.909108,251.195255,189.974026,4.602965,0.195169,24.055004
batch 1,60.0,42.447513,149.289507,75.240845,7.63455,0.197496,24.409779
batch 1,65.0,7.015169,205.902689,460.169686,9.421386,0.262375,25.115987
batch 1,70.0,3.993551,237.201821,814.233013,8.499219,0.226747,25.841498
batch 1,75.0,4.659404,254.672971,696.635534,6.541578,0.175007,26.262601
batch 1,80.0,28.211209,232.740334,98.893626,5.019805,0.131969,26.387196
batch 1,85.0,29.668699,169.939192,107.912351,8.050316,0.151763,26.371502
batch 1,90.0,6.783527,215.094044,476.597642,9.168527,0.190762,26.654804
batch 1,95.0,4.534908,241.687092,716.420911,8.018777,0.163061,26.926271
batch 2,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 2,5.0,19.98692,110.842395,153.873319,8.726009,0.616845,1.554063
batch 2,10.0,4.100281,183.194661,783.555107,10.342464,0.839196,6.143167
batch 2,15.0,2.327472,226.287918,1398.723062,9.476912,0.700675,10.567619
batch 2,20.0,2.118523,252.404116,1542.257812,7.39742,0.532514,13.886132
batch 2,25.0,3.267616,266.238563,996.993912,5.013828,0.396932,16.202978
batch 2,30.0,66.506763,194.926015,28.036625,3.728517,0.294972,17.752276
batch 2,35.0,23.146745,152.966596,137.923796,8.554974,0.371926,19.023894
batch 2,40.0,5.129998,207.085058,630.227359,9.65236,0.418025,20.908495
batch 2,45.0,3.278506,238.992587,993.168776,8.446134,0.341551,22.552418
batch 2,50.0,3.928402,256.984111,827.936831,6.341161,0.259361,23.65412
batch 2,55.0,22.92353,241.761643,124.815097,4.653703,0.193971,24.284902
batch 2,60.0,34.72255,157.270387,92.109714,7.895616,0.206795,24.652202
batch 2,65.0,6.788139,208.995797,475.790509,9.313385,0.258589,25.366129
batch 2,70.0,4.180761,238.672396,777.511227,8.281113,0.220127,26.049494
batch 2,75.0,5.385931,254.373866,601.161944,6.356753,0.169496,26.428046
batch 2,80.0,47.188498,206.312973,54.125841,5.206168,0.128356,26.520019
batch 2,85.0,22.604209,179.152048,141.64466,8.337847,0.15995,26.522581
batch 2,90.0,6.484535,219.411669,498.856316,8.991492,0.184641,26.80248
batch 2,95.0,4.910176,243.57456,661.038733,7.706839,0.154654,27.02274
batch 3,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 3,5.0,20.658398,109.365861,148.547096,8.643391,0.620601,1.559515
batch 3,10.0,4.249038,182.143919,755.67918,10.256023,0.850212,6.196337
batch 3,15.0,2.410889,225.515667,1349.934219,9.418753,0.711472,10.685887
batch 3,20.0,2.20235,251.794284,1483.18055,7.381206,0.541063,14.05821
batch 3,25.0,3.462338,265.554856,940.273177,5.034218,0.40339,16.414076
batch 3,30.0,77.239077,179.840233,24.252172,3.881159,0.299944,17.990353
batch 3,35.0,21.824415,155.639867,146.136464,8.588935,0.379512,19.303368
batch 3,40.0,5.202004,208.10347,621.517522,9.547071,0.416981,21.19332
batch 3,45.0,3.42937,239.330802,949.187097,8.31861,0.339426,22.817812
batch 3,50.0,4.312894,256.553673,753.18124,6.253006,0.257652,23.900173
batch 3,55.0,33.820038,227.236907,77.949534,4.747969,0.1929,24.51525
