batch,time,TNF,ETH
batch 1,0.0,0.0,0.0
batch 1,5.0,0.0,0.0
batch 1,10.0,0.0,0.0
batch 1,15.0,0.0,0.0
batch 1,20.0,0.0,0.0
batch 1,25.0,0.0,0.0
batch 1,30.0,0.0,0.0
batch 1,35.0,0.0,0.0
batch 1,40.0,0.0,0.0
batch 1,45.0,0.0,0.0
batch 1,50.0,0.0,0.0
batch 1,55.0,0.0,0.0
batch 1,60.0,0.0,0.0
batch 1,65.0,0.0,0.0
batch 1,70.0,0.0,0.0
batch 1,75.0,0.0,0.0
batch 1,80.0,0.0,0.0
batch 1,85.0,0.0,0.0
batch 1,90.0,0.0,0.0
batch 1,95.0,0.0,0.0
batch 2,0.0,0.0,0.01
batch 2,5.0,0.0,0.01
batch 2,10.0,0.0,0.01
batch 2,15.0,0.0,0.01
batch 2,20.0,0.0,0.01
batch 2,25.0,0.0,0.01
batch 2,30.0,0.0,0.01
batch 2,35.0,0.0,0.01
batch 2,40.0,0.0,0.01
batch 2,45.0,0.0,0.01
batch 2,50.0,0.0,0.01
batch 2,55.0,0.0,0.01
batch 2,60.0,0.0,0.01
batch 2,65.0,0.0,0.01
batch 2,70.0,0.0,0.01
batch 2,75.0,0.0,0.01
batch 2,80.0,0.0,0.01
batch 2,85.0,0.0,0.01
batch 2,90.0,0.0,0.01
batch 2,95.0,0.0,0.01
batch 3,0.0,0.0,0.02
batch 3,5.0,0.0,0.02
batch 3,10.0,0.0,0.02
batch 3,15.0,0.0,0.02
batch 3,20.0,0.0,0.02
batch 3,25.0,0.0,0.02
batch 3,30.0,0.0,0.02
batch 3,35.0,0.0,0.02
batch 3,40.0,0.0,0.02
batch 3,45.0,0.0,0.02
batch 3,50.0,0.0,0.02
batch 3,55.0,0.0,0.02
batch 3,60.0,0.0,0.02
batch 3,65.0,0.0,0.02
batch 3,70.0,0.0,0.02
batch 3,75.0,0.0,0.02
batch 3,80.0,0.0,0.02
batch 3,85.0,0.0,0.02
batch 3,90.0,0.0,0.02
batch 3,95.0,0.0,0.02
batch 4,0.0,0.0,0.03
batch 4,5.0,0.0,0.03
batch 4,10.0,0.0,0.03
batch 4,15.0,0.0,0.03
batch 4,20.0,0.0,0.03
batch 4,25.0,0.0,0.03
batch 4,30.0,0.0,0.03
batch 4,35.0,0.0,0.03
batch 4,40.0,0.0,0.03
batch 4,45.0,0.0,0.03
batch 4,50.0,0.0,0.03
batch 4,55.0,0.0,0.03
batch 4,60.0,0.0,0.03
batch 4,65.0,0.0,0.03
batch 4,70.0,0.0,0.03
batch 4,75.0,0.0,0.03
batch 4,80.0,0.0,0.03
batch 4,85.0,0.0,0.03
batch 4,90.0,0.0,0.03
batch 4,95.0,0.0,0.03
batch 5,0.0,0.0,0.04
batch 5,5.0,0.0,0.04
batch 5,10.0,0.0,0.04
batch 5,15.0,0.0,0.04
batch 5,20.0,0.0,0.04
batch 5,25.0,0.0,0.04
batch 5,30.0,0.0,0.04
batch 5,35.0,0.0,0.04
batch 5,40.0,0.0,0.04
batch 5,45.0,0.0,0.04
batch 5,50.0,0.0,0.04
batch 5,55.0,0.0,0.04
batch 5,60.0,0.0,0.04
batch 5,65.0,0.0,0.04
batch 5,70.0,0.0,0.04
batch 5,75.0,0.0,0.04
batch 5,80.0,0.0,0.04
batch 5,85.0,0.0,0.04
batch 5,90.0,0.0,0.04
batch 5,95.0,0.0,0.04
batch 6,0.0,0.0,0.05
batch 6,5.0,0.0,0.05
batch 6,10.0,0.0,0.05
batch 6,15.0,0.0,0.05
batch 6,20.0,0.0,0.05
batch 6,25.0,0.0,0.05
batch 6,30.0,0.0,0.05
