batch,time,mdm2,MDM2,p53
batch 1,0.0,0.0,0.0,0.0
batch 1,0.2,0.0035,0.0019,2.2052
batch 1,0.4,0.0277,0.0283,4.3874
batch 1,0.6,0.0905,0.1345,6.4384
batch 1,0.8,0.2014,0.3929,8.1059
batch 1,1.0,0.3508,0.863,8.9867
batch 1,1.2,0.5027,1.5463,8.6044
batch 1,1.4,0.6047,2.3522,6.5857
batch 1,1.6,0.6252,3.1179,2.8913
batch 1,1.8,0.5954,3.7101,0.0445
batch 1,2.0,0.5635,4.1213,0.0385
batch 1,2.2,0.5333,4.3896,0.0354
batch 1,2.4,0.5046,4.5467,0.0339
batch 1,2.6,0.4776,4.6176,0.0332
batch 1,2.8,0.4519,4.6224,0.0331
batch 1,3.0,0.4277,4.5769,0.0335
batch 1,3.2,0.4048,4.4938,0.0343
batch 1,3.4,0.383,4.383,0.0354
batch 1,3.6,0.3625,4.2523,0.0369
batch 1,3.8,0.343,4.108,0.0386
batch 1,4.0,0.3246,3.9548,0.0406
batch 1,4.2,0.3072,3.7965,0.0428
batch 1,4.4,0.2907,3.6361,0.0454
batch 1,4.6,0.2751,3.4757,0.0484
batch 1,4.8,0.2604,3.317,0.0517
batch 1,5.0,0.2464,3.1614,0.0554
batch 1,5.2,0.2332,3.0097,0.0595
batch 1,5.4,0.2207,2.8626,0.0642
batch 1,5.6,0.2089,2.7206,0.0695
batch 1,5.8,0.1977,2.5839,0.0754
batch 1,6.0,0.1871,2.4528,0.0821
batch 1,6.2,0.1771,2.3272,0.0898
batch 1,6.4,0.1676,2.2072,0.0986
batch 1,6.6,0.1586,2.0927,0.1088
batch 1,6.8,0.1501,1.9836,0.1206
batch 1,7.0,0.1421,1.8798,0.1344
batch 1,7.2,0.1345,1.7812,0.1508
batch 1,7.4,0.1274,1.6875,0.1704
batch 1,7.6,0.1206,1.5985,0.1942
batch 1,7.8,0.1142,1.5142,0.2235
batch 1,8.0,0.1082,1.4344,0.26
batch 1,8.2,0.1026,1.3588,0.3063
batch 1,8.4,0.0973,1.2874,0.3658
batch 1,8.6,0.0924,1.2201,0.4431
