batch,time,x,y
Train_1,0,1.5,0
Train_1,0.1,1.4924,-0.1516
Train_1,0.2,1.4696,-0.3053
Train_1,0.3,1.4314,-0.4589
Train_1,0.4,1.3779,-0.6099
Train_1,0.5,1.3096,-0.7554
Train_1,0.6,1.2271,-0.8924
Train_1,0.7,1.1315,-1.018
Train_1,0.8,1.024,-1.1293
Train_1,0.9,0.9062,-1.2243
Train_1,1,0.7797,-1.3014
Train_1,1.1,0.6465,-1.3597
Train_1,1.2,0.5084,-1.3991
Train_1,1.3,0.3673,-1.4201
Train_1,1.4,0.225,-1.4238
Train_1,1.5,0.0831,-1.4116
Train_1,1.6,-0.0569,-1.3849
Train_1,1.7,-0.1935,-1.3455
Train_1,1.8,-0.3256,-1.2949
Train_1,1.9,-0.4521,-1.2345
Train_1,2,-0.5722,-1.1656
Train_1,2.1,-0.685,-1.089
Train_1,2.2,-0.7898,-1.0057
Train_1,2.3,-0.8859,-0.9161
Train_1,2.4,-0.9728,-0.8207
Train_1,2.5,-1.0499,-0.7199
Train_1,2.6,-1.1166,-0.6138
Train_1,2.7,-1.1725,-0.5027
Train_1,2.8,-1.217,-0.3869
Train_1,2.9,-1.2497,-0.2669
Train_1,3,-1.2703,-0.1432
Train_1,3.1,-1.2783,-0.0167
Train_1,3.2,-1.2735,0.1116
Train_1,3.3,-1.2559,0.2403
Train_1,3.4,-1.2255,0.3678
Train_1,3.5,-1.1825,0.4921
Train_1,3.6,-1.1273,0.6114
Train_1,3.7,-1.0604,0.7235
Train_1,3.8,-0.9829,0.8265
Train_1,3.9,-0.8955,0.9184
Train_1,4,-0.7996,0.9978
Train_1,4.1,-0.6964,1.0636
Train_1,4.2,-0.5873,1.115
Train_1,4.3,-0.4739,1.1519
Train_1,4.4,-0.3575,1.1742
Train_1,4.5,-0.2395,1.1826
Train_1,4.6,-0.1214,1.1778
Train_1,4.7,-0.0043,1.1608
Train_1,4.8,0.1104,1.1326
Train_1,4.9,0.2218,1.0943
Train_1,5,0.329,1.047
Train_1,5.1,0.431,0.9915
Train_1,5.2,0.527,0.9287
Train_1,5.3,0.6165,0.8595
Train_1,5.4,0.6987,0.7843
Train_1,5.5,0.7732,0.7038
Train_1,5.6,0.8393,0.6185
Train_1,5.7,0.8967,0.5288
Train_1,5.8,0.945,0.4352
Train_1,5.9,0.9837,0.3381
Train_1,6,1.0125,0.2382
Train_1,6.1,1.0312,0.1361
Train_1,6.2,1.0397,0.0326
Train_1,6.3,1.0377,-0.0714
